"Text","Date","Time","Draft","Facebook","Twitter/X","LinkedIn","GBP","Instagram","Pinterest","TikTok","Youtube","Threads","Bluesky","Picture Url 1","Picture Url 2","Picture Url 3","Picture Url 4","Picture Url 5","Picture Url 6","Picture Url 7","Picture Url 8","Picture Url 9","Picture Url 10","Alt text picture 1","Alt text picture 2","Alt text picture 3","Alt text picture 4","Alt text picture 5","Alt text picture 6","Alt text picture 7","Alt text picture 8","Alt text picture 9","Alt text picture 10","Document title","Shortener","Video Thumbnail Url","Video Cover Frame","Twitter/X Can reply","Twitter/X Type","Twitter/X Poll Duration minutes","Twitter/X Poll Option 1","Twitter/X Poll Option 2","Twitter/X Poll Option 3","Twitter/X Poll Option 4","Pinterest Board","Pinterest Pin Title","Pinterest Pin Link","Pinterest Pin New Format","Instagram Post Type","Instagram Show Reel On Feed","Instagram Trial Reel Share Automatically","Youtube Video Title","Youtube Video Type","Youtube Video Privacy","Youtube video for kids","Youtube AI generated content","Youtube Video Category","Youtube Video Tags","Youtube playlist","GBP Post Type","Facebook Post Type","Facebook Title","First Comment Text","TikTok Title","TikTok disable comments","TikTok disable duet","TikTok disable stitch","TikTok Post Privacy","TikTok Branded Content","TikTok Your Brand","TikTok Auto Add Music","TikTok Photo Cover Index","TikTok musicId","TikTok music title","TikTok music author","TikTok music previewUrl","TikTok music thumbnailUrl","TikTok music soundVolume","TikTok music originalVolume","TikTok music startMillis","TikTok music endMillis","TikTok Ai generated content","LinkedIn Type","LinkedIn Poll Question","LinkedIn Poll Option 1","LinkedIn Poll Option 2","LinkedIn Poll Option 3","LinkedIn Poll Option 4","LinkedIn Poll Duration","LinkedIn Show link preview","LinkedIn Images as Carousel","Threads Reply Control","Threads Is Spoiler","Threads Post Type","Brand name (Optional)"
"","2026-08-08","14:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/stories/story_carrusel1.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2026-08-11","14:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/stories/story_carrusel2.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2026-08-13","14:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/stories/story_carrusel4.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2026-08-15","14:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/stories/story_carrusel5.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2026-08-18","14:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/stories/story_carrusel3.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2026-08-20","14:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/stories/story_carrusel6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2026-08-22","14:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/stories/story_carrusel7.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2026-08-25","14:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/stories/story_carrusel8.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2026-08-27","14:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/stories/story_carrusel9.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2026-08-29","14:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/stories/story_carrusel10.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","STORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
